Date,Open Price (USD),High Price (USD),Low Price (USD),Close Price (USD),Volume
2024-04-30,3216.09,3247.51,2916.57,3010.62,22271.46579808
2024-05-01,3010.62,3020.14,2813.8,2970.02,24577.66018931
2024-05-02,2970.01,3014.8,2892.78,2987.85,12692.40264674
2024-05-03,2987.86,3126.36,2958.64,3104.77,18702.10634519
2024-05-04,3105.13,3165.24,3093.28,3117.78,5968.44944914
2024-05-05,3118.06,3168.98,3077.0,3137.54,5521.06994963
2024-05-06,3137.54,3217.66,3046.88,3063.02,10961.81018
2024-05-07,3063.07,3127.99,3002.72,3005.14,8263.70870168
2024-05-08,3005.14,3036.42,2936.51,2972.86,11830.76973611
2024-05-09,2972.87,3056.24,2951.0,3036.25,5743.88656896
2024-05-10,3036.25,3051.35,2880.05,2909.56,11961.91200156
2024-05-11,2909.56,2941.91,2886.85,2910.11,4898.98753681
2024-05-12,2910.11,2951.99,2901.78,2929.17,5748.03558256
2024-05-13,2929.18,2992.0,2864.01,2948.99,15223.00830421
2024-05-14,2948.99,2957.51,2860.08,2881.49,12259.36076064
2024-05-15,2881.49,3039.95,2864.75,3033.23,11832.26237316
2024-05-16,3033.21,3040.93,2925.59,2944.48,17722.57118167
2024-05-17,2944.48,3120.0,2934.12,3093.54,15252.95913425
2024-05-18,3093.54,3144.67,3087.13,3121.37,5085.44001575
2024-05-19,3121.37,3134.0,3055.7,3071.79,4127.58116941
2024-05-20,3071.79,3690.83,3050.0,3661.3,42651.59066036
2024-05-21,3661.31,3838.0,3628.01,3789.23,42727.99545004
2024-05-22,3789.32,3810.0,3655.0,3736.82,31332.13453289
2024-05-23,3736.82,3943.11,3530.0,3780.86,67176.72972467
2024-05-24,3780.87,3826.16,3630.87,3726.37,24414.53014335
2024-05-25,3726.37,3774.39,3707.98,3749.32,5102.14510268
2024-05-26,3749.32,3879.9,3732.5,3824.85,19213.31701914
2024-05-27,3824.85,3973.73,3824.25,3892.1,20148.77990832
2024-05-28,3892.1,3924.15,3771.37,3839.98,14779.32407273
2024-05-29,3839.99,3879.9,3742.21,3762.39,11221.44033831
2024-05-30,3762.23,3821.64,3702.0,3746.05,10603.59363636
2024-05-31,3746.91,3843.01,3722.19,3758.2,12337.17055491
2024-06-01,3758.37,3827.06,3750.16,3813.41,3398.87768055
2024-06-02,3812.84,3834.36,3753.18,3779.48,3676.85738614
2024-06-03,3778.7,3849.01,3758.64,3765.89,12170.45437634
2024-06-04,3766.08,3831.45,3728.77,3813.01,12726.19283652
2024-06-05,3813.02,3884.42,3778.75,3866.35,9455.78364816
2024-06-06,3866.36,3875.99,3760.0,3811.83,8554.14518848
2024-06-07,3811.83,3838.09,3574.89,3676.69,16099.72069613
2024-06-08,3676.88,3706.74,3657.39,3680.04,5592.04736657
2024-06-09,3680.21,3719.73,3665.53,3705.8,3530.97308769
2024-06-10,3705.8,3710.0,3640.0,3664.38,7890.38050272
2024-06-11,3664.38,3668.45,3430.48,3497.85,21090.37940866
2024-06-12,3497.02,3655.47,3464.12,3559.28,18476.11561094
2024-06-13,3559.26,3559.26,3428.75,3468.9,11377.88342119
2024-06-14,3468.9,3529.49,3364.01,3480.1,15806.67821475
2024-06-15,3480.11,3592.0,3473.88,3564.36,8701.12570213
2024-06-16,3564.36,3649.99,3542.03,3620.19,4671.76635326
2024-06-17,3620.93,3634.61,3465.0,3511.23,16336.43499634
2024-06-18,3511.23,3513.81,3350.0,3481.86,22926.06146939
2024-06-19,3482.11,3586.45,3465.69,3557.63,22822.50463694
2024-06-20,3557.63,3620.0,3482.61,3511.96,15116.00991145
2024-06-21,3511.96,3543.6,3443.9,3517.25,17459.77504219
2024-06-22,3517.08,3519.5,3476.0,3495.55,6121.83428568
2024-06-23,3494.48,3519.43,3408.0,3418.34,4084.72521579
2024-06-24,3418.35,3429.73,3230.0,3350.33,18971.64087155
2024-06-25,3350.82,3426.91,3334.93,3394.93,8349.80348916
2024-06-26,3394.93,3424.85,3328.14,3367.66,9064.78574042
2024-06-27,3367.67,3470.72,3362.0,3445.39,12731.92628949
2024-06-28,3445.4,3482.0,3362.0,3374.22,8524.46131393
2024-06-29,3374.23,3400.0,3366.7,3372.93,2834.96876985
2024-06-30,3372.93,3451.84,3350.0,3432.23,4020.66676248
2024-07-01,3432.23,3516.66,3422.08,3438.36,9122.53113764
2024-07-02,3438.32,3458.72,3398.39,3415.81,6470.74606226
2024-07-03,3415.81,3426.49,3250.59,3292.88,11308.8258557
2024-07-04,3292.89,3307.71,3052.75,3057.47,13675.36775548
2024-07-05,3057.57,3105.65,2811.35,2981.95,28134.04759712
2024-07-06,2981.79,3080.02,2956.05,3068.53,5136.01509979
2024-07-07,3067.56,3072.65,2922.08,2929.7,8410.58025838
2024-07-08,2929.71,3093.18,2825.01,3017.22,11056.87750181
2024-07-09,3017.22,3110.84,3004.88,3066.5,7492.21485044
2024-07-10,3066.5,3149.45,3024.37,3102.21,8031.91731765
2024-07-11,3102.21,3213.77,3055.66,3098.64,10765.89669362
2024-07-12,3098.64,3155.44,3048.46,3133.65,8803.82690924
2024-07-13,3133.83,3200.1,3115.0,3177.16,5489.94202839
2024-07-14,3176.66,3266.29,3166.31,3246.69,9525.15863338
2024-07-15,3246.35,3493.29,3235.03,3486.35,17811.86230073
2024-07-16,3486.38,3497.51,3350.0,3442.5,13355.43088788
2024-07-17,3442.99,3516.04,3376.5,3387.54,10507.35176392
2024-07-18,3387.46,3487.04,3369.35,3425.49,9556.92147693
2024-07-19,3425.49,3540.89,3378.0,3505.15,11871.37776295
2024-07-20,3505.52,3538.73,3482.33,3518.62,4950.85700919
2024-07-21,3518.01,3545.0,3412.19,3534.56,9450.2688395
2024-07-22,3534.57,3563.21,3427.0,3440.38,9559.18997461
2024-07-23,3441.07,3540.34,3390.5,3480.96,17035.97678868
2024-07-24,3480.97,3485.4,3302.0,3336.11,12705.32213049
2024-07-25,3336.11,3340.26,3087.72,3173.35,17307.32391661
2024-07-26,3173.35,3286.07,3171.12,3275.76,10841.05138656
2024-07-27,3274.94,3327.57,3195.0,3249.22,7581.06151351
2024-07-28,3249.23,3281.83,3201.5,3270.02,2495.53215923
2024-07-29,3269.63,3395.0,3258.44,3319.69,10505.85483893
2024-07-30,3318.82,3362.85,3231.43,3278.39,7996.18879507
2024-07-31,3278.39,3347.76,3215.64,3230.87,11758.84202921
2024-08-01,3231.38,3240.15,3079.55,3201.93,11089.0993965
2024-08-02,3201.94,3214.79,2966.0,2985.96,15305.03242714
2024-08-03,2985.96,3013.47,2859.29,2902.03,13236.52230617
2024-08-04,2902.2,2931.9,2628.0,2687.17,17392.66031609
2024-08-05,2687.18,2694.76,1911.81,2417.54,96378.57354593
2024-08-06,2419.84,2555.15,2416.6,2461.39,21694.55293262
2024-08-07,2462.53,2552.41,2311.07,2343.07,18968.43861717
2024-08-08,2343.4,2722.73,2321.71,2685.81,24186.70188655
2024-08-09,2685.28,2706.4,2555.01,2600.02,13699.81865425
2024-08-10,2600.19,2644.37,2578.89,2609.2,2650.34077042
2024-08-11,2609.21,2719.11,2539.84,2553.06,8524.6158302
2024-08-12,2555.79,2748.86,2511.0,2723.29,16078.54920928
